x1,x2,objective
0.732792,0.671645,-0.020000
0.519886,0.695632,-0.027027
0.519886,0.695632,-0.027027
0.297078,0.863543,-0.045455
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.306980,0.719619,-0.050000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.655741,0.035712,-0.000000
0.849129,0.933993,-0.013889
0.849129,0.933993,-0.013889
0.912814,0.840594,-0.015152
0.859743,0.793894,-0.016129
0.923428,0.700495,-0.016667
0.849129,0.560396,-0.017857
0.849129,0.560396,-0.017857
0.736354,0.507859,-0.020408
0.736354,0.507859,-0.020408
0.736354,0.507859,-0.020408
0.625487,0.508953,-0.026316
0.625487,0.508953,-0.026316
0.625487,0.508953,-0.026316
0.625487,0.508953,-0.026316
0.414982,0.502090,-0.047619
0.414982,0.502090,-0.047619
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.351125,0.509427,-0.050000
0.678735,0.757740,-0.021739
0.678735,0.757740,-0.021739
0.610862,0.814571,-0.023810
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.610862,0.776684,-0.024390
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.743132,0.392227,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.655478,0.171187,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.706046,0.031833,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.276923,0.046171,-0.000000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.097132,0.823458,-0.050000
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
0.694829,0.317099,-0.000000
